Ux_top [mm],Uy_top left   [mm],Uy_top right [mm],Uy_top_mid [mm],Rot      [rad],Fx_top [kN],Fy_top [kN],M_top [kNm],Unnamed: 8,h [mm],l [mm],Estimated Time (s)
0.00028058,-0.005075244864112515,-0.002196099051173985,-0.00363567195764325,1.1516583251754119e-06,3.1443,17.8984,-9.464639999999997,,,,129.72972972972974
-0.0001984,-0.006378991869544312,-0.0026611485915286476,-0.00452007023053648,1.4871373112062657e-06,3.1523,18.3601,-9.48936,,,,137.83783783783784
-0.00024127,-0.007116889881589121,-0.003137498042860993,-0.005127193962225057,1.591756735491251e-06,3.1773,18.8628,-9.40128,,,,145.94594594594597
0.00076231,-0.007907187611460939,-0.0035091476533965628,-0.005708167632428751,1.7592159832257503e-06,3.1693,19.2935,-9.313199999999998,,,,154.05405405405406
0.00080517,-0.008530885574408785,-0.004079796800706138,-0.006305341187557462,1.7804355094810587e-06,3.1803,19.795099999999998,-9.112559999999997,,,,162.1621621621622
0.0015678,-0.009266733317068256,-0.004606246248091556,-0.006936489782579906,1.8641948275906802e-06,3.1513,20.2468,-8.902079999999998,,,,170.2702702702703
0.0015678,-0.00979028132160455,-0.00502529544087135,-0.007407788381237949,1.90599435229328e-06,3.1743,20.7695,-8.7804,,,,178.3783783783784
0.0013696,-0.010777977142104031,-0.005540994234624632,-0.008159485688364332,2.0947931629917598e-06,3.1533,21.225099999999998,-8.64696,,,,186.4864864864865
0.0018912,-0.011196475643005037,-0.0060125434851759875,-0.008604509564090512,2.07357286313162e-06,3.1843,21.7848,-8.570880000000002,,,,194.5945945945946
-0.00011648,-0.012495468775209467,-0.006577491350012268,-0.009536480062610868,2.3671909700788796e-06,3.1773,22.2425,-8.5284,,,,202.7027027027027
