time_s,max_opening_m
1.1400,8.48644359e-04
1.1450,8.48356913e-04
1.1500,8.48327881e-04
1.1550,8.48583763e-04
1.1600,8.49018730e-04
1.1650,8.49486165e-04
1.1700,8.49749761e-04
1.1750,8.49783114e-04
1.1800,8.49717704e-04
1.1850,8.49716591e-04
1.1900,8.50012277e-04
1.1950,8.50596768e-04
1.2000,8.51256006e-04
1.2050,8.51781065e-04
1.2100,8.51844700e-04
1.2150,8.51409765e-04
1.2200,8.50609350e-04
1.2250,8.49632923e-04
1.2300,8.48806730e-04
1.2350,8.48211094e-04
1.2400,8.47836989e-04
1.2450,8.47574016e-04
1.2500,8.47261458e-04
1.2550,8.46904497e-04
1.2600,8.46636338e-04
1.2650,8.46582809e-04
1.2700,8.46907823e-04
1.2750,8.47586808e-04
1.2800,8.48435316e-04
1.2850,8.49304840e-04
1.2900,8.49959370e-04
1.2950,8.50353004e-04
1.3000,8.50514972e-04
1.3050,8.50529001e-04
1.3100,8.50549503e-04
1.3150,8.50619624e-04
1.3200,8.50760921e-04
1.3250,8.50952198e-04
1.3300,8.51157234e-04
1.3350,8.51365840e-04
1.3400,8.51537660e-04
1.3450,8.51630465e-04
1.3500,8.51538277e-04
1.3550,8.51214200e-04
1.3600,8.50632596e-04
1.3650,8.49847889e-04
1.3700,8.49016389e-04
1.3750,8.48235952e-04
1.3800,8.47650391e-04
1.3850,8.47274503e-04
1.3900,8.47072225e-04
1.3950,8.46990172e-04
1.4000,8.46966097e-04
1.4050,8.47015626e-04
1.4100,8.47202759e-04
1.4150,8.47564277e-04
1.4200,8.48094506e-04
1.4250,8.48734148e-04
1.4300,8.49341759e-04
1.4350,8.49858335e-04
1.4400,8.50228693e-04
1.4450,8.50475038e-04
1.4500,8.50646160e-04
1.4550,8.50752372e-04
1.4600,8.50770377e-04
1.4650,8.50665250e-04
1.4700,8.50423567e-04
1.4750,8.50101420e-04
1.4800,8.49873207e-04
1.4850,8.49840040e-04
1.4900,8.50061360e-04
1.4950,8.50447058e-04
1.5000,8.50698542e-04
1.5050,8.50643434e-04
1.5100,8.50094048e-04
1.5150,8.49118740e-04
1.5200,8.48012738e-04
1.5250,8.47004813e-04
1.5300,8.46459570e-04
1.5350,8.46433374e-04
1.5400,8.46824509e-04
1.5450,8.47460946e-04
1.5500,8.48037753e-04
1.5550,8.48482106e-04
1.5600,8.48801537e-04
1.5650,8.49092736e-04
1.5700,8.49506112e-04
1.5750,8.50048999e-04
1.5800,8.50622297e-04
1.5850,8.51107016e-04
1.5900,8.51323414e-04
1.5950,8.51258210e-04
1.6000,8.51025433e-04
1.6050,8.50770700e-04
1.6100,8.50745521e-04
1.6150,8.50983324e-04
1.6200,8.51360544e-04
1.6250,8.51682162e-04
1.6300,8.51577239e-04
1.6350,8.50940098e-04
1.6400,8.49788701e-04
1.6450,8.48313678e-04
1.6500,8.46990390e-04
1.6550,8.46059993e-04
1.6600,8.45785902e-04
1.6650,8.46101200e-04
1.6700,8.46674992e-04
1.6750,8.47249752e-04
1.6800,8.47437275e-04
1.6850,8.47203866e-04
1.6900,8.46716583e-04
1.6950,8.46207516e-04
1.7000,8.46132879e-04
1.7050,8.46645734e-04
1.7100,8.47814498e-04
1.7150,8.49472606e-04
1.7200,8.51145026e-04
1.7250,8.52558494e-04
1.7300,8.53324928e-04
1.7350,8.53416980e-04
1.7400,8.52967702e-04
1.7450,8.52158341e-04
1.7500,8.51337669e-04
1.7550,8.50631862e-04
1.7600,8.50163147e-04
1.7650,8.49894824e-04
1.7700,8.49706513e-04
1.7750,8.49522967e-04
1.7800,8.49253996e-04
1.7850,8.48891858e-04
1.7900,8.48432281e-04
1.7950,8.47879944e-04
1.8000,8.47262111e-04
1.8050,8.46621665e-04
1.8100,8.46100029e-04
1.8150,8.45787742e-04
1.8200,8.45818189e-04
1.8250,8.46205259e-04
1.8300,8.46887504e-04
1.8350,8.47777035e-04
1.8400,8.48684274e-04
1.8450,8.49523992e-04
1.8500,8.50194494e-04
1.8550,8.50703183e-04
1.8600,8.51101146e-04
1.8650,8.51420306e-04
1.8700,8.51667067e-04
1.8750,8.51803619e-04
1.8800,8.51748955e-04
1.8850,8.51476725e-04
1.8900,8.50981044e-04
1.8950,8.50307397e-04
1.9000,8.49586036e-04
1.9050,8.48904938e-04
1.9100,8.48415126e-04
1.9150,8.48150884e-04
1.9200,8.48092960e-04
1.9250,8.48168739e-04
1.9300,8.48221418e-04
1.9350,8.48185276e-04
1.9400,8.47998475e-04
1.9450,8.47687972e-04
1.9500,8.47363045e-04
1.9550,8.47106071e-04
1.9600,8.47042295e-04
1.9650,8.47191538e-04
1.9700,8.47534545e-04
1.9750,8.48016049e-04
1.9800,8.48522271e-04
1.9850,8.48992212e-04
