# element_index,element_tag - element_index is the column position in solid_strain.txt / solid_stress.txt / solid_*.txt
0,429
1,449
2,469
3,489
4,509
5,529
6,549
7,569
8,589
9,609
10,629
11,649
12,669
13,689
14,709
15,729
16,749
17,769
18,789
19,809
20,829
21,849
22,869
23,889
24,909
25,929
26,949
27,969
28,989
29,1009
30,1029
31,1049
32,1069
33,1089
34,1109
35,1129
36,1149
37,1169
38,1189
39,1209
40,1229
41,1249
42,1269
43,1289
44,1309
45,1329
46,1349
47,1369
48,1389
49,1409
50,1429
51,1449
52,1469
53,1489
54,1509
55,1529
56,1549
57,1569
58,1589
59,1609
60,1629
61,1649
62,1669
63,1689
64,1709
65,1729
66,1749
67,1769
68,1789
69,1809
70,1829
71,1849
72,1869
73,1889
74,1909
75,1929
76,1949
77,1969
78,1989
79,2009
80,2029
81,2049
82,2069
83,2089
84,2109
85,2129
86,2149
87,2169
88,2189
89,2209
90,2229
91,2249
92,2269
93,2289
94,2309
95,2329
96,2349
97,2369
98,2389
99,2409
100,2429
101,2449
102,2469
103,2489
104,2509
105,2529
106,2549
107,2569
108,2589
109,2609
110,2629
111,2649
112,2669
113,2689
114,2709
115,2729
116,2749
117,2769
118,2789
119,2809
120,2829
121,2849
122,2869
123,2889
124,2909
125,2929
126,2949
127,2969
128,2989
129,3009
130,3029
131,3049
132,3069
133,3089
134,3109
135,3129
136,3149
137,3169
138,3189
139,3209
140,3229
141,3249
142,3269
143,3289
144,3309
145,3329
146,3349
147,3369
148,3389
149,3409
150,3429
151,3449
152,3469
153,3489
154,3509
155,3529
156,3549
157,3569
158,3589
159,3609
160,3629
161,3649
162,3669
163,3689
164,3709
165,3729
166,3749
167,3769
168,3789
169,3809
170,3829
171,3849
172,3869
173,3889
174,3909
175,3929
176,3949
177,3969
178,3989
179,4009
180,4029
181,4049
182,4069
183,4089
184,4109
185,4129
186,4149
187,4169
188,4189
189,4209
190,4229
191,4249
192,4269
193,4289
194,4309
195,4329
196,4349
197,4369
198,4389
199,4409
200,4429
201,4449
202,4469
203,4489
204,4509
205,4529
206,4549
207,4569
208,4589
209,4609
210,4629
211,4649
212,4669
213,4689
214,4709
215,4729
216,4749
217,4769
218,4789
219,4809
220,4829
221,4849
222,4869
223,4889
224,4909
225,4929
226,4949
227,4969
228,4989
229,5009
230,5029
231,5049
232,5069
233,5089
234,5109
235,5129
236,5149
237,5169
238,5189
239,5209
240,5217
241,5218
242,5219
243,5220
244,5221
245,5222
246,5223
247,5224
248,5225
249,5226
250,5227
251,5228
252,5229
253,5230
254,5231
255,5232
256,5233
257,5234
258,5235
259,5236
260,5237
261,5238
262,5239
263,5240
264,5241
265,5242
266,5243
267,5244
268,5245
269,5246
270,5247
271,5248
272,5249
273,5250
274,5251
275,5252
276,5253
277,5254
278,5255
279,5256
280,5257
281,5258
282,5259
283,5260
284,5261
285,5262
286,5263
287,5264
288,5265
289,5266
290,5267
291,5268
292,5269
293,5270
294,5271
295,5272
296,5273
297,5274
298,5275
299,5276
300,5277
301,5278
302,5279
303,5280
304,5281
305,5282
306,5283
307,5284
308,5285
309,5286
310,5287
311,5288
312,5289
313,5290
314,5291
315,5292
316,5293
317,5294
318,5295
319,5296
320,5297
321,5298
322,5299
323,5300
324,5301
325,5302
326,5303
327,5304
328,5305
329,5306
330,5307
331,5308
332,5309
333,5310
334,5311
335,5312
336,5313
337,5314
338,5315
339,5316
340,5317
341,5318
342,5319
343,5320
344,5321
345,5322
346,5323
347,5324
348,5325
349,5326
350,5327
351,5328
352,5329
353,5330
354,5331
355,5332
356,5333
357,5334
358,5335
359,5336
360,5337
361,5338
362,5339
363,5340
364,5341
365,5342
366,5343
367,5344
368,5345
369,5346
370,5347
371,5348
372,5349
373,5350
374,5351
375,5352
376,5353
377,5354
378,5355
379,5356
380,5357
381,5358
382,5359
383,5360
384,5361
385,5362
386,5363
387,5364
388,5365
389,5366
390,5367
391,5368
392,5369
393,5370
394,5371
395,5372
396,5373
397,5374
398,5375
399,5376
400,5377
401,5378
402,5379
403,5380
404,5381
405,5382
406,5383
407,5384
408,5385
409,5386
410,5387
411,5388
412,5389
413,5390
414,5391
415,5392
416,5393
417,5394
418,5395
419,5396
420,5397
421,5398
422,5399
423,5400
424,5401
425,5402
426,5403
427,5404
428,5405
429,5406
430,5407
431,5408
432,5409
433,5410
434,5411
435,5412
436,5413
437,5414
438,5415
439,5416
440,5417
441,5418
442,5419
443,5420
444,5421
445,5422
446,5423
447,5424
448,5425
449,5426
450,5427
451,5428
452,5429
453,5430
454,5431
455,5432
456,5433
457,5434
458,5435
459,5436
460,5437
461,5438
